N,eta2,epsilon2,omega2
100,0.035061154,0.035326769,0.035285419
10,0.110793983,0.120026815,0.11862781
20,0.077314805,0.080366706,0.079901726
30,0.062813246,0.064437727,0.064187281
40,0.054112079,0.055152696,0.054988952
50,0.049444703,0.05020151,0.050083211
60,0.045602439,0.046182131,0.046091842
70,0.042546796,0.043009261,0.042936938
80,0.040002747,0.04038252,0.040323141
90,0.036192519,0.036497512,0.036449426
100,0.036117524,0.036391142,0.03634836
10,0.108799445,0.117866065,0.116483733
20,0.07832396,0.081415695,0.080933536
30,0.064521075,0.066189723,0.065935609
40,0.056546884,0.057634324,0.057466952
50,0.049393794,0.050149822,0.050033344
60,0.044723537,0.045292057,0.045203862
70,0.04216391,0.042622213,0.042550064
80,0.038010755,0.038371616,0.038315516
90,0.037440729,0.03775624,0.037707075
100,0.033618837,0.033873526,0.03383389
10,0.110052969,0.11922405,0.117825876
20,0.080820765,0.084011059,0.083529351
30,0.065958823,0.067664655,0.067405347
40,0.054135561,0.05517663,0.0550127
50,0.047367844,0.048092862,0.047980412
60,0.046657986,0.047251096,0.047158989
70,0.040695329,0.041137669,0.041068839
80,0.038284394,0.038647853,0.03859075
90,0.036365845,0.036672299,0.03662488
100,0.035127103,0.035393218,0.035351819
10,0.111767592,0.121081558,0.119663019
20,0.081038268,0.084237147,0.083741982
30,0.062698349,0.064319858,0.064070806
40,0.055659529,0.056729905,0.056563097
50,0.048947747,0.049696947,0.049581389
60,0.044092955,0.044653458,0.04456499
70,0.04105282,0.041499046,0.0414298
80,0.039559043,0.039934603,0.039875443
90,0.036604315,0.036912778,0.036864515
100,0.035179781,0.035446294,0.035405096
10,0.106937846,0.115849333,0.114482222
20,0.07495258,0.077911235,0.077444492
30,0.061700076,0.063295768,0.063045089
40,0.054750381,0.055803273,0.055638736
50,0.049970394,0.050735247,0.050615769
60,0.045843405,0.04642616,0.046336588
70,0.041003383,0.041449072,0.041379571
80,0.040464524,0.040848681,0.040788987
90,0.036442566,0.036749666,0.036701591
100,0.036467165,0.036743431,0.036700068
10,0.107759568,0.116739532,0.115378387
20,0.077729682,0.080797958,0.080306027
30,0.065096228,0.066779752,0.066516835
40,0.056015346,0.057092564,0.056925009
50,0.049183528,0.049936337,0.049818925
60,0.044036419,0.044596204,0.044509425
70,0.043109832,0.043578417,0.043506026
80,0.039056428,0.039427217,0.039368596
90,0.037277395,0.037591531,0.037542833
100,0.035521324,0.035790425,0.035748955
10,0.112922393,0.122332593,0.120948693
20,0.079943411,0.083099072,0.082608598
30,0.063718887,0.065366789,0.065110018
40,0.055359677,0.056424286,0.056261305
